STATION;NOM;LONGITUDE;LATITUDE;ALTITUDE;DATE;RR;TN;TX;FXI;DXI;FXY;DXY;INST;ETPMON
1089001;AMBERIEU;5329;45976;250;2020/01/01;0,0;-2,2;0,0;3,8;20;2,4;360;0;0,2
1089001;AMBERIEU;5329;45976;250;2020/01/02;0,0;-1,8;8,7;10,1;200;5,9;190;201;0,4
1089001;AMBERIEU;5329;45976;250;2020/01/03;0,4;3,3;9,1;9,6;180;4,7;190;41;0,7
1089001;AMBERIEU;5329;45976;250;2020/01/04;0,6;3,4;8,7;12,8;360;8,3;340;188;0,8
1089001;AMBERIEU;5329;45976;250;2020/01/05;0,0;-3,4;4,9;4,8;30;3,7;30;251;0,3
1089001;AMBERIEU;5329;45976;250;2020/01/06;0,0;-4,6;11,6;10,8;180;5,7;180;459;0,6
1089001;AMBERIEU;5329;45976;250;2020/01/07;0,0;-0,8;7,1;5,6;10;4,3;20;57;0,2
1089001;AMBERIEU;5329;45976;250;2020/01/08;0,0;-1,2;8,5;4,7;210;3,2;200;277;0,3
1089001;AMBERIEU;5329;45976;250;2020/01/09;3,2;0,3;13,8;15,4;180;8,9;190;376;2,1
1089001;AMBERIEU;5329;45976;250;2020/01/10;0,0;5,9;10,7;12,9;150;7,2;170;23;1,5
1089001;AMBERIEU;5329;45976;250;2020/01/11;0,0;3,7;5,8;8,8;350;5,9;350;1;0,7
1089001;AMBERIEU;5329;45976;250;2020/01/12;0,0;-1,6;6,7;4,7;20;2,8;20;271;0,5
1089001;AMBERIEU;5329;45976;250;2020/01/13;0,0;-3,4;9,4;11,6;200;5,8;170;277;0,8
1089001;AMBERIEU;5329;45976;250;2020/01/14;0,0;5,3;13,2;18,5;190;11,3;190;352;2,7
1089001;AMBERIEU;5329;45976;250;2020/01/15;0,0;8,3;12,5;24,2;190;14,0;190;256;2,9
1089001;AMBERIEU;5329;45976;250;2020/01/16;0,0;2,1;12,9;11,9;160;6,2;180;472;1,4
1089001;AMBERIEU;5329;45976;250;2020/01/17;13,8;5,4;9,7;13,1;160;7,0;170;26;1,1
1089001;AMBERIEU;5329;45976;250;2020/01/18;0,0;-1,6;8,2;7,8;360;5,0;10;418;0,7
1089001;AMBERIEU;5329;45976;250;2020/01/19;0,0;-2,2;5,7;15,3;350;10,8;350;428;1,2
1089001;AMBERIEU;5329;45976;250;2020/01/20;0,0;-4,6;6,6;3,8;20;3,2;20;478;0,7
1089001;AMBERIEU;5329;45976;250;2020/01/21;0,0;-4,7;4,8;4,3;200;2,7;210;360;0,6
1089001;AMBERIEU;5329;45976;250;2020/01/22;0,0;-5,2;5,3;2,9;20;2,5;20;260;0,5
1089001;AMBERIEU;5329;45976;250;2020/01/23;0,0;-4,6;-0,4;0;0;0;0;0;0,1
1089001;AMBERIEU;5329;45976;250;2020/01/24;0,0;-3,5;6,2;0;0;0;0;52;0,4
1089001;AMBERIEU;5329;45976;250;2020/01/25;0,0;-2,1;12,4;6,8;180;3,7;170;125;0,7
1089001;AMBERIEU;5329;45976;250;2020/01/26;7,1;2,9;10,1;9,1;150;4,6;180;6;0,8
1089001;AMBERIEU;5329;45976;250;2020/01/27;1,4;-0,7;9,5;17,5;160;8,7;170;151;0,4
1089001;AMBERIEU;5329;45976;250;2020/01/28;7,2;4,8;9,3;17,4;280;8,7;260;6;1,3
1089001;AMBERIEU;5329;45976;250;2020/01/29;2,0;4,5;8,4;7,9;190;4,4;190;42;0,9
1089001;AMBERIEU;5329;45976;250;2020/01/30;9,3;-1,8;9,3;9,6;190;6,5;190;50;0,2
1089001;AMBERIEU;5329;45976;250;2020/01/31;0,4;6,9;15,7;6,6;200;5,7;200;52;1,2
1089001;AMBERIEU;5329;45976;250;2020/02/01;2,2;6,6;13,2;14,6;190;6,9;180;60;0,8
1089001;AMBERIEU;5329;45976;250;2020/02/02;10,9;7,4;13,2;12,5;180;6,6;170;0;0,3
1089001;AMBERIEU;5329;45976;250;2020/02/03;1,4;10,7;17,6;10,8;170;6,0;190;199;1,7
1089001;AMBERIEU;5329;45976;250;2020/02/04;7,6;2,1;7,6;20,8;290;10,7;310;160;0,8
1089001;AMBERIEU;5329;45976;250;2020/02/05;0,2;2,5;8,7;12,7;360;9,1;360;353;1,3
1089001;AMBERIEU;5329;45976;250;2020/02/06;0,0;-3,4;7,3;4,9;130;2,5;120;260;0,7
1089001;AMBERIEU;5329;45976;250;2020/02/07;0,0;-1,7;12,4;11,3;160;5,4;170;503;1,4
1089001;AMBERIEU;5329;45976;250;2020/02/08;0,0;2,0;13,4;15,7;200;10,1;200;472;1,7
1089001;AMBERIEU;5329;45976;250;2020/02/09;0,4;7,0;12,9;19,2;190;10,1;190;298;2,7
1089001;AMBERIEU;5329;45976;250;2020/02/10;2,0;9,3;16,1;18,3;190;10,6;220;192;3,2
1089001;AMBERIEU;5329;45976;250;2020/02/11;1,6;6,5;9,9;15,2;230;8,6;230;37;1,5
1089001;AMBERIEU;5329;45976;250;2020/02/12;0,0;1,2;10,0;5,4;130;2,7;190;394;1,2
1089001;AMBERIEU;5329;45976;250;2020/02/13;3,6;-2,5;10,1;19,3;170;10,0;190;39;0,8
1089001;AMBERIEU;5329;45976;250;2020/02/14;0,0;5,2;11,3;5,3;350;3,9;350;225;1,3
1089001;AMBERIEU;5329;45976;250;2020/02/15;0,0;-3,3;15,5;13,6;180;6,9;170;514;1,3
1089001;AMBERIEU;5329;45976;250;2020/02/16;0,0;7,7;16,0;21,0;200;13,5;190;212;3,0
1089001;AMBERIEU;5329;45976;250;2020/02/17;11,7;7,1;12,5;15,7;190;10,4;190;0;1,2
